,zone,total_energy,peak_load,avg_load,load_factor,range,cv,peak_to_avg_ratio,max_peak,segment
0,AE,27020.477222982216,1345.0037934336526,563.2301140597875,0.4229707208665612,1281.0875777473782,0.2428799296213633,2.388018253745003,2549.433,Residential
1,AEP,355203.8526958504,7681.410972640219,3702.373842357861,0.48581353860251264,7134.2484728682175,0.12987836283137505,2.0747259190196483,11968.516,Residential
2,AP,133991.1925262198,6445.359306885545,5586.4929549341605,0.8695728041866703,1707.0451108071134,0.14100565230190848,1.153739807582288,9791.61,Commercial
3,ATSI,180821.52369813042,7985.183487460101,3769.1074963090296,0.4746716480512178,7529.823148198815,0.1260344376710717,2.118587356630116,11876.748,Residential
4,BC,83674.60459553123,4197.929760601915,3488.705137235302,0.835991264365193,1360.664982216142,0.17672001086467112,1.203291649900987,6765.92,Commercial
5,CE,257227.63036069315,12524.535418604652,10723.237930215559,0.863857344488195,3636.3955339717286,0.1576846145263245,1.1679807442594798,22467.007,Commercial
6,DAY,47219.94693661651,2290.095943912449,1968.5917484464126,0.864065260374465,667.9108002735978,0.1452499824881572,1.1633168460244556,3396.336,Commercial
7,DEOK,71829.33507159143,3500.705074783402,2994.614660625115,0.8615118403226225,1039.965770633835,0.15030268108281553,1.1690001791591584,5305.66,Commercial
8,DOM,319013.94612904696,15526.363337893295,13301.796704701363,0.8599794273371051,4295.380540811674,0.17196505041450852,1.1672380568262395,24678.126,Commercial
9,DPL,50846.64400455997,2547.3845330597355,1060.034159003928,0.4188440184754272,2524.779822617419,0.1969744016925121,2.403115514176837,4139.729,Residential
10,DUQ,35976.1816000912,1730.6377792977655,1499.7957746292032,0.8737941408355173,474.10118194254443,0.14510777894740587,1.1539156254294913,2759.284,Commercial
11,EKPC,37240.83846876425,1896.9487674418604,1552.928403130775,0.8209525226099144,668.380545371637,0.20938742857296178,1.221530087039122,3757.184,Commercial
12,JC,60238.539574555405,3205.9964642042864,2511.295744798642,0.7931718458689486,1245.473617875057,0.21787647391869175,1.2766303892500508,6273.364,Commercial
13,ME,42339.25165663475,2055.349868673051,1765.1276068601453,0.8618471936863529,598.8808563611492,0.1458533974763142,1.1644199890619582,3071.547,Commercial
14,OVEC,903.3419972640219,48.88189694482444,37.665215078279374,0.7783445405082302,19.692658458732332,0.2564658640498411,1.2977994906768355,152.0,Commercial
15,PE,105413.94080984952,5167.996099863201,4394.803864704682,0.8562523255824773,1613.6399498404014,0.17028613770938394,1.1759332746037063,8651.487,Commercial
16,PEP,76444.7817770178,3288.394368901049,1593.633152244582,0.4869153424178759,2982.4607031463747,0.17569045519283097,2.063457555629694,5312.458,Residential
17,PL,112229.07886730506,5245.461577291382,2339.5312709257328,0.44692741189103946,5150.5262225262195,0.1423855843040811,2.2420993651500956,7839.726,Residential
18,PN,46576.323457364335,2192.47388372093,1941.7419493216053,0.886616588489583,562.9103442772458,0.1127390963621296,1.1291273201812033,2953.235,Commercial
19,PS,116355.93341906065,5815.580312813498,4850.732210963913,0.8392927403679935,1776.293450524396,0.18308979094845843,1.198907723594549,10229.491,Commercial
20,RECO,3870.7637496580032,202.0281199270406,161.35971297209622,0.8136878361651049,77.01090287277702,0.2194118347222987,1.2520356922175309,427.359,Commercial
21,RTO,2164438.128615595,104029.29764705883,90239.45737300182,0.8715092204479434,28235.43062106703,0.1411486537511631,1.1528138651926636,160154.429,Industrial
