,zone,date,total_energy,peak_load,avg_load,min_load,load_factor,utilization_rate,range,cv
0,AE,2020-02-01,18895.503,1090.572,497.2500789473684,60.255,0.45595346198817543,0.4277704101264869,1030.3169999999998,0.2428799296213633
1,AE,2020-02-02,23937.27,1125.985,498.693125,50.009,0.4428949986012248,0.4416609497092098,1075.9759999999999,0.2428799296213633
2,AE,2020-02-03,23289.581,1100.489,485.19960416666663,55.602,0.4408945515735883,0.43166029466159733,1044.887,0.2428799296213633
3,AE,2020-02-04,23833.218,1096.465,496.525375,60.844,0.45284197398001763,0.4300819044862132,1035.6209999999999,0.2428799296213633
4,AE,2020-02-05,24308.232,1158.962,506.4215,58.605,0.4369612636134748,0.4545959827145879,1100.357,0.2428799296213633
5,AE,2020-02-06,25724.207,1146.95,535.9209791666666,63.643,0.4672574908816135,0.44988434683319783,1083.307,0.2428799296213633
6,AE,2020-02-07,24150.458,1146.699,503.1345416666666,60.865,0.43876775131631457,0.449785893569276,1085.834,0.2428799296213633
7,AE,2020-02-08,23849.732,1136.926,496.86941666666667,47.787,0.4370288098492485,0.4459524921815949,1089.139,0.2428799296213633
8,AE,2020-02-09,23111.641,1103.323,481.49252083333334,41.016,0.4364021422859247,0.4327719143825314,1062.307,0.2428799296213633
9,AE,2020-02-10,24934.295000000002,1138.056,519.4644791666667,58.838,0.4564489613574962,0.4463957279912828,1079.218,0.2428799296213633
10,AE,2020-02-11,24510.854,1114.394,510.64279166666665,61.127,0.4582246419728271,0.43711444858523446,1053.267,0.2428799296213633
11,AE,2020-02-12,23955.301,1145.823,499.0687708333333,55.754,0.43555485518560305,0.44944228775574807,1090.0690000000002,0.2428799296213633
12,AE,2020-02-13,25308.349,1140.586,527.2572708333333,63.087,0.46226875556366054,0.4473881055120884,1077.499,0.2428799296213633
13,AE,2020-02-14,24457.961,1233.284,509.54085416666663,59.173,0.41315775941848476,0.4837483471815106,1174.111,0.2428799296213633
14,AE,2020-02-15,26395.008,1229.825,549.8960000000001,48.934,0.4471335352590816,0.4823915749109704,1180.891,0.2428799296213633
15,AE,2020-02-16,24754.947,1218.359,515.7280625,44.319,0.42329728963302277,0.4778941042969162,1174.04,0.2428799296213633
16,AE,2020-02-17,22849.051,1118.234,476.0218958333333,54.203,0.4256907729807297,0.43862066585001447,1064.031,0.2428799296213633
17,AE,2020-02-18,23635.374,1119.043,492.403625,55.684,0.44002207689963657,0.43893799131022465,1063.359,0.2428799296213633
18,AE,2020-02-19,22714.727,1125.662,473.22347916666666,59.47,0.42039571307076784,0.44153425487157344,1066.192,0.2428799296213633
19,AE,2020-02-20,25907.288,1208.374,539.7351666666667,65.428,0.44666234681205214,0.4739775471644087,1142.946,0.2428799296213633
20,AE,2020-02-21,25581.244,1203.863,532.9425833333333,55.691,0.4426937145948778,0.47220813412237156,1148.172,0.2428799296213633
21,AE,2020-02-22,24158.903,1202.844,503.31047916666665,43.438,0.41843371140951496,0.4718084374054937,1159.406,0.2428799296213633
22,AE,2020-02-23,22351.124,1087.973,465.64841666666666,38.413,0.4279962983150011,0.4267509677642048,1049.56,0.2428799296213633
23,AE,2020-02-24,23015.77,1084.53,479.4952083333333,55.971,0.4421225861279387,0.42540047139893455,1028.559,0.2428799296213633
24,AE,2020-02-25,24377.31,1113.135,507.860625,60.485,0.4562435149375413,0.43662061328930785,1052.65,0.2428799296213633
25,AE,2020-02-26,24132.636,1108.634,502.76324999999997,60.842,0.45349795333716986,0.43485512268806437,1047.792,0.2428799296213633
26,AE,2020-02-27,23021.256,1184.673,479.6095,55.553,0.4048454721260635,0.46468097023926497,1129.12,0.2428799296213633
27,AE,2020-02-28,25273.124,1186.937,526.5234166666667,63.375,0.4435984527120367,0.46556901083495816,1123.562,0.2428799296213633
28,AE,2020-02-29,24673.002,1185.013,514.020875,52.531,0.43376813165762745,0.46481433322625065,1132.482,0.2428799296213633
29,AE,2020-03-01,23722.121,1176.823,494.21085416666665,40.415,0.41995342899201205,0.461601854216212,1136.4080000000001,0.2428799296213633
30,AE,2020-03-02,23135.124,1127.14,481.98175,52.201,0.4276148038398069,0.442113991620882,1074.939,0.2428799296213633
31,AE,2020-03-03,22922.898,1075.332,477.560375,59.14,0.44410505313707765,0.42179261035689114,1016.1920000000001,0.2428799296213633
32,AE,2020-03-04,21321.479,1065.986,444.19747916666665,49.809,0.4167010440724987,0.41812669719110096,1016.1770000000001,0.2428799296213633
33,AE,2020-03-05,21605.695,1069.538,450.11864583333335,50.877,0.42085334586834067,0.41951994816102245,1018.6610000000001,0.2428799296213633
34,AE,2020-03-06,25190.122,1151.272,524.7942083333334,63.423,0.4558385927333709,0.4515796257442341,1087.849,0.2428799296213633
35,AE,2020-03-07,22378.665,1138.144,466.2221875,40.967,0.4096337436211938,0.44643024547026733,1097.177,0.2428799296213633
36,AE,2020-03-08,20892.009,1075.013,435.2501875,0.0,0.4048789991376849,0.4216674844955721,1075.013,0.2428799296213633
37,AE,2020-03-09,21075.582,1034.316,439.07462499999997,49.105,0.4245072347329056,0.4057043271974592,985.211,0.2428799296213633
38,AE,2020-03-10,21967.084,1002.825,457.64758333333333,58.156,0.4563583709354407,0.3933521688940247,944.6690000000001,0.2428799296213633
39,AE,2020-03-11,21333.876,1036.235,444.45575,57.683,0.428914049419292,0.40645704358576984,978.5519999999999,0.2428799296213633
40,AE,2020-03-12,22988.903,1055.467,478.93547916666665,55.821,0.4537664172983775,0.41400068172021,999.6460000000001,0.2428799296213633
41,AE,2020-03-13,21766.92,1039.237,453.47749999999996,50.334,0.4363561920909282,0.40763456031203804,988.903,0.2428799296213633
42,AE,2020-03-14,19401.449,970.528,404.1968541666667,39.228,0.41647109013512923,0.3806838618626181,931.3000000000001,0.2428799296213633
43,AE,2020-03-15,19986.777000000002,983.283,416.39118750000006,41.116,0.4234703411937357,0.38568693509498,942.167,0.2428799296213633
44,AE,2020-03-16,22319.151,1072.311,464.98231250000003,53.573,0.43362635699904234,0.42060764099311493,1018.7379999999999,0.2428799296213633
45,AE,2020-03-17,22033.009,1063.492,459.0210208333333,54.141,0.4316168065517496,0.4171484404571526,1009.351,0.2428799296213633
46,AE,2020-03-18,20374.165,1008.819,424.46177083333333,50.838,0.42075116629775344,0.39570327990576726,957.981,0.2428799296213633
47,AE,2020-03-19,22329.643,1000.643,465.20089583333333,58.711,0.46490196387056454,0.3924962923128398,941.932,0.2428799296213633
48,AE,2020-03-20,20991.721,985.768,437.3275208333334,58.179,0.44364142560250824,0.38666166163221394,927.589,0.2428799296213633
49,AE,2020-03-21,19096.082,965.796,397.83504166666665,42.547,0.4119245075219473,0.3788277628790402,923.249,0.2428799296213633
50,AE,2020-03-22,21465.856,1037.13,447.20533333333333,44.767,0.4311950607284846,0.4068081020368059,992.363,0.2428799296213633
51,AE,2020-03-23,24368.053,1043.799,507.66777083333335,59.237,0.48636545046827345,0.40942397780212303,984.562,0.2428799296213633
52,AE,2020-03-24,21355.505,1032.726,444.9063541666667,52.01,0.43080774006528993,0.40508065911126123,980.7160000000001,0.2428799296213633
53,AE,2020-03-25,23494.149,1068.945,489.46143750000005,59.369,0.4578920688155144,0.41928734742195617,1009.5759999999999,0.2428799296213633
54,AE,2020-03-26,20457.272,1043.044,426.1931666666667,46.021,0.40860516590543317,0.4091278335221989,997.0230000000001,0.2428799296213633
55,AE,2020-03-27,20067.904,971.367,418.0813333333333,48.94,0.43040512322668295,0.38101295464520935,922.4269999999999,0.2428799296213633
56,AE,2020-03-28,21698.243,993.096,452.04672916666664,56.162,0.455189356483831,0.38953602624583583,936.934,0.2428799296213633
57,AE,2020-03-29,20983.078999999998,966.711,437.14747916666664,52.511,0.4522007913085365,0.3791866662116635,914.2,0.2428799296213633
58,AE,2020-03-30,21181.561999999998,980.384,441.28254166666665,47.205,0.4501119374313194,0.3845498195088869,933.179,0.2428799296213633
59,AE,2020-03-31,22741.335,1042.351,473.7778125,57.597,0.45452809322387555,0.40885600837519565,984.7540000000001,0.2428799296213633
60,AE,2020-04-01,21447.961,1027.106,446.8325208333333,44.541,0.43504031797432136,0.4028762473852029,982.565,0.2428799296213633
61,AE,2020-04-02,20154.087,995.875,419.87681249999997,42.484,0.4216159784109451,0.3906260725424045,953.391,0.2428799296213633
62,AE,2020-04-03,20596.74,969.707,429.09875000000005,48.449,0.442503508791831,0.3803618294734555,921.258,0.2428799296213633
63,AE,2020-04-04,20037.893,960.894,417.45610416666665,51.687,0.43444553110610185,0.3769049824019694,909.207,0.2428799296213633
64,AE,2020-04-05,18917.724,937.157,394.11924999999997,36.03,0.4205477310632049,0.36759428468996835,901.1270000000001,0.2428799296213633
65,AE,2020-04-06,18148.175,901.69,378.08697916666665,41.535,0.41930927388200673,0.35368256392695946,860.1550000000001,0.2428799296213633
66,AE,2020-04-07,19741.183,921.04,411.27464583333335,52.961,0.44653288221286086,0.36127248686276514,868.079,0.2428799296213633
67,AE,2020-04-08,18640.691,926.966,388.3477291666666,42.977,0.41894495501093526,0.3635969252771106,883.989,0.2428799296213633
68,AE,2020-04-09,19012.257,912.795,396.08868750000005,41.932,0.4339295104596323,0.35803843442836114,870.8629999999999,0.2428799296213633
69,AE,2020-04-10,19834.365,957.939,413.21593750000005,45.187,0.43135934281827976,0.3757459011474316,912.752,0.2428799296213633
70,AE,2020-04-11,18946.335,984.819,394.7153125,33.007,0.4007998551002773,0.38628942200089195,951.812,0.2428799296213633
71,AE,2020-04-12,18939.024,932.648,394.56300000000005,32.342,0.42305671593141253,0.36582565613608986,900.306,0.2428799296213633
72,AE,2020-04-13,20134.503,876.91,419.4688125,50.044,0.47834876156047945,0.34396275564017564,826.866,0.2428799296213633
73,AE,2020-04-14,18636.509,902.573,388.2606041666666,46.579,0.4301708606025957,0.35402891544904297,855.994,0.2428799296213633
74,AE,2020-04-15,19161.518,917.368,399.19829166666665,39.28,0.43515611146962463,0.3598321666033193,878.0880000000001,0.2428799296213633
75,AE,2020-04-16,19731.087,943.995,411.06431249999997,46.848,0.4354517899988877,0.37027644970469903,897.147,0.2428799296213633
76,AE,2020-04-17,20370.814000000002,970.998,424.3919583333334,40.417,0.4370677986291767,0.3808682165799219,930.581,0.2428799296213633
77,AE,2020-04-18,20721.531,951.335,431.6985625,54.529,0.45378185654895487,0.3731555212472734,896.806,0.2428799296213633
78,AE,2020-04-19,18431.21,962.522,383.98354166666667,27.777,0.39893482088374776,0.37754355576318344,934.745,0.2428799296213633
79,AE,2020-04-20,19708.834,893.44,410.60070833333333,50.987,0.45957278421979464,0.3504465502721586,842.4530000000001,0.2428799296213633
80,AE,2020-04-21,19645.892,923.673,409.2894166666667,46.225,0.4431107293021087,0.36230526552374587,877.448,0.2428799296213633
81,AE,2020-04-22,19029.984,930.717,396.458,41.15,0.42597051520494417,0.3650682328188268,889.567,0.2428799296213633
82,AE,2020-04-23,20761.053,938.707,432.5219375,49.647,0.46076351566569757,0.3682022630129915,889.06,0.2428799296213633
83,AE,2020-04-24,21409.793,950.075,446.0373541666667,54.983,0.4694759404959258,0.37266129370726747,895.0920000000001,0.2428799296213633
84,AE,2020-04-25,17915.612,959.562,373.24191666666667,31.797,0.3889711312730878,0.3763825132882488,927.765,0.2428799296213633
85,AE,2020-04-26,20608.395,926.312,429.3415625,51.184,0.46349562836279784,0.3633403976492028,875.128,0.2428799296213633
86,AE,2020-04-27,21367.519,953.995,445.15664583333336,53.422,0.4666236676642261,0.3741988904983971,900.573,0.2428799296213633
87,AE,2020-04-28,19207.899,975.028,400.16456250000005,40.994,0.4104134060765435,0.3824489602197822,934.034,0.2428799296213633
88,AE,2020-04-29,19045.575,922.049,396.78281250000003,41.848,0.4303272521308521,0.3616682611388493,880.201,0.2428799296213633
89,AE,2020-04-30,20612.931,932.207,429.4360625,54.674,0.4606659921026124,0.36565267649708777,877.533,0.2428799296213633
90,AE,2020-05-01,19399.292999999998,921.822,404.1519375,52.09,0.4384273075496137,0.36157922173283236,869.732,0.2428799296213633
91,AE,2020-05-02,17122.53,913.419,356.71937499999996,33.193,0.39053202856520386,0.35828319473388787,880.226,0.2428799296213633
92,AE,2020-05-03,18415.011,887.694,383.64606249999997,41.787,0.43218278201722665,0.34819271579209965,845.9069999999999,0.2428799296213633
93,AE,2020-05-04,18571.717,926.088,386.91077083333334,49.285,0.4177905024504511,0.3632525349754239,876.803,0.2428799296213633
94,AE,2020-05-05,18414.509,903.054,383.6356041666666,43.658,0.42482022577461215,0.35421758485121985,859.396,0.2428799296213633
95,AE,2020-05-06,20928.853,944.858,436.0177708333333,56.185,0.46146380814189364,0.37061495634519515,888.673,0.2428799296213633
96,AE,2020-05-07,18083.674,953.911,376.7432083333333,41.728,0.3949458684650175,0.37416594199573,912.183,0.2428799296213633
97,AE,2020-05-08,19873.207000000002,904.192,414.0251458333334,54.836,0.4578951658865964,0.3546639586135427,849.356,0.2428799296213633
98,AE,2020-05-09,18892.264,929.175,393.5888333333333,35.356,0.42358956421915495,0.3644633924484385,893.819,0.2428799296213633
99,AE,2020-05-10,17802.293,960.609,370.8811041666667,31.643,0.386089557943624,0.376793192839349,928.966,0.2428799296213633
100,AE,2020-05-11,18988.966,864.807,395.6034583333333,51.054,0.45744710476827005,0.33921542554756295,813.753,0.2428799296213633
101,AE,2020-05-12,18915.86,913.684,394.0804166666667,51.684,0.43130931116958016,0.3583871394149209,862.0,0.2428799296213633
102,AE,2020-05-13,18562.38,917.79,386.71625,45.596,0.42135592019960993,0.3599976936048133,872.194,0.2428799296213633
103,AE,2020-05-14,18894.725,916.785,393.6401041666666,47.86,0.4293701404000574,0.3596034883050466,868.925,0.2428799296213633
104,AE,2020-05-15,20600.904,1092.59,429.1855,56.869,0.3928147795604939,0.4285619586786552,1035.721,0.2428799296213633
105,AE,2020-05-16,21672.829,1109.995,451.5172708333334,52.525,0.40677414838204984,0.4353889668800866,1057.4699999999998,0.2428799296213633
106,AE,2020-05-17,19123.983,1021.21,398.4163125,43.668,0.39014141312756434,0.4005635762932386,977.542,0.2428799296213633
107,AE,2020-05-18,19999.375,914.849,416.6536458333333,53.126,0.4554343348829515,0.35884410376738674,861.7230000000001,0.2428799296213633
108,AE,2020-05-19,18641.582,943.476,388.36629166666665,43.989,0.4116334614411672,0.37007287502750613,899.487,0.2428799296213633
109,AE,2020-05-20,19465.305,958.175,405.5271875,52.238,0.42322872909437215,0.37583847075016286,905.9369999999999,0.2428799296213633
110,AE,2020-05-21,19232.983,937.102,400.6871458333333,49.561,0.4275811446708398,0.367572711265603,887.5409999999999,0.2428799296213633
111,AE,2020-05-22,21304.281,968.397,443.8391875,56.076,0.45832358784671984,0.37984798972948103,912.321,0.2428799296213633
112,AE,2020-05-23,21164.496,1040.78,440.92699999999996,47.908,0.42365053133227,0.4082397929265056,992.872,0.2428799296213633
113,AE,2020-05-24,19915.224000000002,1022.879,414.9005,41.448,0.40562031286202965,0.4012182316617067,981.431,0.2428799296213633
114,AE,2020-05-25,19804.22,937.452,412.5879166666667,46.507,0.4401163117329385,0.3677099966933824,890.945,0.2428799296213633
115,AE,2020-05-26,21502.02,1079.957,447.95875,54.438,0.41479313528223805,0.4236067392239765,1025.519,0.2428799296213633
116,AE,2020-05-27,22527.837,1142.909,469.32993749999997,57.245,0.4106450622927984,0.44829928850846446,1085.6640000000002,0.2428799296213633
117,AE,2020-05-28,24756.758,1158.836,515.7657916666667,63.46,0.44507228949278993,0.45454655996058735,1095.376,0.2428799296213633
118,AE,2020-05-29,26353.074,1329.209,549.022375,64.668,0.41304443093599275,0.5213743604950591,1264.5410000000002,0.2428799296213633
119,AE,2020-05-30,26060.26,1354.406,542.9220833333333,59.684,0.4008562302096515,0.53125773456294,1294.722,0.2428799296213633
120,AE,2020-05-31,21109.597999999998,1257.673,439.7832916666666,38.894,0.34968015665969343,0.49331478803326073,1218.779,0.2428799296213633
121,AE,2020-06-01,19816.892,985.831,412.8519166666667,48.254,0.41878569112420555,0.3866863730092142,937.577,0.2428799296213633
122,AE,2020-06-02,21478.765,1016.76,447.4742708333333,56.591,0.44009822458921805,0.3988180901400429,960.169,0.2428799296213633
123,AE,2020-06-03,26229.593,1445.854,546.4498541666667,60.193,0.37794262364434217,0.56712767113315,1385.661,0.2428799296213633
124,AE,2020-06-04,29717.286,1657.956,619.110125,65.546,0.3734177052949536,0.6503234248556443,1592.4099999999999,0.2428799296213633
125,AE,2020-06-05,30898.695,1571.871,643.7228125,68.544,0.40952648945110637,0.6165570932830947,1503.327,0.2428799296213633
126,AE,2020-06-06,31790.486,1771.693,662.3017916666666,68.14,0.37382424137063625,0.6949360897109279,1703.5529999999999,0.2428799296213633
127,AE,2020-06-07,26899.27,1605.161,560.4014583333334,51.195,0.34912476588537433,0.6296148986853155,1553.9660000000001,0.2428799296213633
128,AE,2020-06-08,24399.019,1321.646,508.31289583333336,58.34,0.3846059351999956,0.5184078185227853,1263.306,0.2428799296213633
129,AE,2020-06-09,27013.441,1561.992,562.7800208333333,60.941,0.36029635288358286,0.6126821140230004,1501.051,0.2428799296213633
130,AE,2020-06-10,32592.886,1761.953,679.0184583333333,70.243,0.38537830369671233,0.691115632377866,1691.71,0.2428799296213633
131,AE,2020-06-11,32056.971,1591.746,667.8535625000001,79.321,0.4195729485106292,0.6243529443605697,1512.4250000000002,0.2428799296213633
132,AE,2020-06-12,29753.446,1639.3,619.8634583333334,69.073,0.37812691901014667,0.6430057193109213,1570.2269999999999,0.2428799296213633
133,AE,2020-06-13,25364.664,1482.251,528.4305,50.585,0.35650540967757827,0.5814041788899728,1431.666,0.2428799296213633
134,AE,2020-06-14,21664.885000000002,1139.654,451.3517708333334,40.936,0.3960428084605796,0.4470225340301157,1098.718,0.2428799296213633
135,AE,2020-06-15,22258.36,1087.028,463.71583333333336,55.708,0.42659051407446114,0.4263802971092004,1031.32,0.2428799296213633
136,AE,2020-06-16,22450.283,1098.943,467.71422916666666,58.992,0.4256037202718127,0.4310538853148916,1039.951,0.2428799296213633
137,AE,2020-06-17,23789.91,1069.617,495.623125,59.814,0.46336504094456243,0.4195509354432927,1009.803,0.2428799296213633
138,AE,2020-06-18,25635.338,1409.02,534.0695416666666,62.25,0.37903616816416136,0.5526797527136426,1346.77,0.2428799296213633
139,AE,2020-06-19,29197.285,1562.612,608.2767708333333,63.899,0.38926923051489,0.6129253053522097,1498.7130000000002,0.2428799296213633
140,AE,2020-06-20,30379.281,1504.796,632.9016875,64.474,0.42058969288860415,0.5902473216593651,1440.3220000000001,0.2428799296213633
141,AE,2020-06-21,30704.153,1660.015,639.6698541666666,59.733,0.3853398036563926,0.6511310554150669,1600.2820000000002,0.2428799296213633
142,AE,2020-06-22,34158.956,1913.781,711.6449166666666,67.52,0.3718528487150132,0.7506692664604248,1846.261,0.2428799296213633
143,AE,2020-06-23,35882.995,1953.134,747.5623958333334,72.756,0.3827501829538237,0.7661052477158646,1880.378,0.2428799296213633
144,AE,2020-06-24,36551.23,1806.059,761.4839583333334,84.241,0.4216273988465124,0.7084159497425506,1721.818,0.2428799296213633
145,AE,2020-06-25,33049.679,1625.656,688.5349791666666,69.906,0.42354285234186484,0.6376539410919997,1555.75,0.2428799296213633
146,AE,2020-06-26,33056.518,1815.616,688.6774583333332,68.588,0.3793078813655163,0.7121646264090878,1747.028,0.2428799296213633
147,AE,2020-06-27,34845.149,1849.123,725.9406041666666,70.206,0.3925864337670704,0.7253075487765319,1778.9170000000001,0.2428799296213633
148,AE,2020-06-28,37650.908,2056.384,784.3939166666668,67.389,0.3814433085779051,0.8066044489107971,1988.9950000000001,0.2428799296213633
149,AE,2020-06-29,38007.784,1989.34,791.8288333333334,72.257,0.39803594827095085,0.7803068368535278,1917.0829999999999,0.2428799296213633
150,AE,2020-06-30,35364.537,1798.107,736.7611874999999,72.84,0.40974268355553917,0.705296824823402,1725.267,0.2428799296213633
151,AE,2020-07-01,33102.596,1611.22,689.6374166666666,70.914,0.4280218819693565,0.6319915055622172,1540.306,0.2428799296213633
152,AE,2020-07-02,34471.377,2037.491,718.1536875,67.072,0.3524696244057029,0.7991937815192633,1970.4189999999999,0.2428799296213633
153,AE,2020-07-03,41455.484,2234.294,863.6559166666666,72.986,0.38654533229139343,0.876388593071479,2161.308,0.2428799296213633
154,AE,2020-07-04,38551.85,2055.982,803.1635416666667,76.037,0.39064716600955973,0.8064467667908903,1979.945,0.2428799296213633
155,AE,2020-07-05,37932.961,1992.645,790.2700208333334,69.34,0.3965934829502161,0.781603203535845,1923.305,0.2428799296213633
156,AE,2020-07-06,40199.344,2090.733,837.4863333333333,77.985,0.40057067704643934,0.8200776407930706,2012.7480000000003,0.2428799296213633
157,AE,2020-07-07,35613.072,1964.106,741.939,69.27,0.37774896059581303,0.7704089497547102,1894.836,0.2428799296213633
158,AE,2020-07-08,39971.706,2124.191,832.743875,77.798,0.3920287182273158,0.8332013432006253,2046.3929999999998,0.2428799296213633
159,AE,2020-07-09,41212.384,2133.932,858.5913333333333,81.422,0.40235177753243,0.8370221927777666,2052.5099999999998,0.2428799296213633
160,AE,2020-07-10,37834.165,1948.055,788.2117708333334,84.39,0.40461474179801565,0.7641130400367454,1863.665,0.2428799296213633
161,AE,2020-07-11,37943.793,2036.445,790.4956874999999,73.487,0.3881743368959142,0.7987834942122425,1962.9579999999999,0.2428799296213633
162,AE,2020-07-12,38510.275,2039.496,802.2973958333333,69.163,0.39338022522884736,0.7999802308983998,1970.333,0.2428799296213633
163,AE,2020-07-13,39387.68,2088.027,820.5766666666667,76.407,0.3929914060817541,0.8190162283142958,2011.6200000000001,0.2428799296213633
164,AE,2020-07-14,37754.471,2039.095,786.5514791666666,75.384,0.3857355734611024,0.7998229410225725,1963.711,0.2428799296213633
165,AE,2020-07-15,36998.772,1837.934,770.8077499999999,74.074,0.41938815539622204,0.7209187297724631,1763.86,0.2428799296213633
166,AE,2020-07-16,33813.53,1694.552,704.4485416666666,72.995,0.4157137353510938,0.6646779891842617,1621.5569999999998,0.2428799296213633
167,AE,2020-07-17,37116.165,2122.443,773.2534375,74.232,0.36432235753798803,0.8325157005498871,2048.2110000000002,0.2428799296213633
168,AE,2020-07-18,42520.243,2266.589,885.8383958333334,80.095,0.3908244484700726,0.8890561156147269,2186.494,0.2428799296213633
169,AE,2020-07-19,43195.884,2242.458,899.9142499999999,74.711,0.40130707018815953,0.8795908737354542,2167.7470000000003,0.2428799296213633
170,AE,2020-07-20,48555.55,2489.516,1011.5739583333334,91.446,0.4063335838505691,0.9764979114963994,2398.07,0.2428799296213633
171,AE,2020-07-21,47336.483,2387.035,986.1767291666666,92.311,0.41313878060718284,0.9363003459985023,2294.7239999999997,0.2428799296213633
172,AE,2020-07-22,46134.023,2402.429,961.1254791666667,88.448,0.4000640514939949,0.9423385513563213,2313.981,0.2428799296213633
173,AE,2020-07-23,42529.479,2315.171,886.0308125,83.065,0.38270642319724985,0.9081121174786707,2232.1059999999998,0.2428799296213633
174,AE,2020-07-24,40339.719,2154.55,840.4108124999999,86.304,0.39006326727158797,0.8451094812062134,2068.246,0.2428799296213633
175,AE,2020-07-25,38296.645,2117.182,797.8467708333333,76.724,0.3768437341869208,0.8304521044483224,2040.4579999999999,0.2428799296213633
176,AE,2020-07-26,43060.034,2261.847,897.0840416666666,78.326,0.396615704628415,0.8871960941903554,2183.521,0.2428799296213633
177,AE,2020-07-27,44872.1,2420.828,934.8354166666667,81.988,0.38616350135848837,0.9495554501726462,2338.84,0.2428799296213633
178,AE,2020-07-28,47936.984,2442.99,998.6871666666666,93.048,0.40879707516881636,0.9582483634596398,2349.942,0.2428799296213633
179,AE,2020-07-29,46172.073,2297.533,961.9181874999999,92.95,0.418674372685833,0.9011937164067461,2204.583,0.2428799296213633
180,AE,2020-07-30,44065.347,2254.122,918.0280625,83.387,0.4072663602502438,0.8841660086772235,2170.7349999999997,0.2428799296213633
181,AE,2020-07-31,37700.441,2016.544,785.4258541666667,86.062,0.38949105705933845,0.790977444788704,1930.4820000000002,0.2428799296213633
