,zone,date,total_energy,peak_load,avg_load,min_load,load_factor,utilization_rate,range,cv
0,RTO,2020-02-01,1646906.976,92571.757,86679.3145263158,79714.489,0.9363472978731061,0.5780155914389354,12857.267999999996,0.1411486537511631
1,RTO,2020-02-02,1996796.923,91897.449,83199.87179166666,76493.731,0.9053556186490734,0.5738052302006583,15403.717999999993,0.1411486537511631
2,RTO,2020-02-03,2008168.623,95076.289,83673.692625,72833.786,0.8800689793961142,0.5936538227113282,22242.50300000001,0.1411486537511631
3,RTO,2020-02-04,2002626.478,93781.011,83442.76991666666,69704.8,0.8897618934462826,0.5855661412897922,24076.210999999996,0.1411486537511631
4,RTO,2020-02-05,2117551.296,101853.974,88231.304,72316.093,0.8662529357961035,0.6359735077947798,29537.88100000001,0.1411486537511631
5,RTO,2020-02-06,2234664.722,101159.721,93111.03008333333,79176.962,0.9204358134136543,0.6316386105063633,21982.759000000005,0.1411486537511631
6,RTO,2020-02-07,2203713.343,102966.995,91821.38929166667,78046.527,0.891755550326264,0.6429231813501705,24920.467999999993,0.1411486537511631
7,RTO,2020-02-08,2187147.761,102162.929,91131.15670833334,84427.34,0.8920178542290358,0.6379026146070553,17735.589000000007,0.1411486537511631
8,RTO,2020-02-09,2101428.968,95843.886,87559.54033333332,82605.907,0.9135641717754779,0.5984466779872819,13237.978999999992,0.1411486537511631
9,RTO,2020-02-10,2168902.767,99336.124,90370.948625,77209.807,0.9097490921328882,0.6202521192841941,22126.316999999995,0.1411486537511631
10,RTO,2020-02-11,2127876.347,98268.787,88661.51445833333,75045.39,0.9022347498634875,0.6135876954111584,23223.396999999997,0.1411486537511631
11,RTO,2020-02-12,2185754.871,102043.784,91073.11962499999,77856.442,0.8924906158419212,0.6371586763922713,24187.342000000004,0.1411486537511631
12,RTO,2020-02-13,2220398.942,101701.56,92516.62258333333,78926.221,0.9096873497646775,0.6350218388278228,22775.338999999993,0.1411486537511631
13,RTO,2020-02-14,2342497.622,108763.38,97604.06758333334,85325.112,0.8973982565026329,0.6791156553029202,23438.26800000001,0.1411486537511631
14,RTO,2020-02-15,2397480.138,109517.082,99895.00575,90135.113,0.9121408635595313,0.6838217505680095,19381.968999999997,0.1411486537511631
15,RTO,2020-02-16,2110650.694,100020.699,87943.77891666668,81212.713,0.8792557920102786,0.6245265873977172,18807.98599999999,0.1411486537511631
16,RTO,2020-02-17,2122678.917,98314.504,88444.954875,79449.66,0.8996124811350317,0.6138731511446368,18864.843999999997,0.1411486537511631
17,RTO,2020-02-18,2128743.239,96538.994,88697.63495833334,77386.911,0.9187752148974468,0.6027869138729844,19152.083000000013,0.1411486537511631
18,RTO,2020-02-19,2121052.913,98817.406,88377.20470833335,75891.408,0.894348559486912,0.6170132578725,22925.998000000007,0.1411486537511631
19,RTO,2020-02-20,2336307.719,108104.796,97346.15495833334,85194.147,0.9004795213556791,0.675003474302918,22910.649000000005,0.1411486537511631
20,RTO,2020-02-21,2424144.057,114989.944,101006.002375,92589.862,0.8783898735962511,0.7179941555034984,22400.08200000001,0.1411486537511631
21,RTO,2020-02-22,2193376.963,104031.228,91390.70679166667,78192.934,0.8784930116528729,0.6495682239296673,25838.29400000001,0.1411486537511631
22,RTO,2020-02-23,2001799.352,90469.337,83408.30633333333,74844.066,0.9219511173529803,0.5648881368120016,15625.270999999993,0.1411486537511631
23,RTO,2020-02-24,2082005.313,98297.018,86750.22137500001,75606.447,0.8825315674886497,0.6137639690251713,22690.570999999996,0.1411486537511631
